,Utilisateur,Date,Heure,Action,Attribut
36847,tdelille,2009-04-05,21:45:57,Afficher une structure (cours/forum),IDFORUMTEST=355
36848,tdelille,2009-04-05,21:46:03,Afficher le contenu d''un message,IDFORUMTEST=355
36849,tdelille,2009-04-05,21:46:03,Afficher le contenu d''un message,IDMSGTEST=2585
36850,tdelille,2009-04-05,19:45:48,Bouger la scrollbar en bas,IDFORUMTEST=355
36851,tdelille,2009-04-05,19:45:48,Bouger la scrollbar en bas,IDMSGTEST=2585
36852,tdelille,2009-04-05,19:45:48,Bouger la scrollbar en bas,ScrollVertical
36853,tdelille,2009-04-05,19:45:52,Bouger la scrollbar en bas - afficher la fin du message,IDFORUMTEST=355
36854,tdelille,2009-04-05,19:45:52,Bouger la scrollbar en bas - afficher la fin du message,IDMSGTEST=2585
36855,tdelille,2009-04-05,19:45:52,Bouger la scrollbar en bas - afficher la fin du message,ScrollVertical
36856,tdelille,2009-04-05,21:48:10,Répondre à un message test,IDFORUMTEST=355
36857,tdelille,2009-04-05,21:48:10,Répondre à un message test,IDMSGTEST=2594
36858,tdelille,2009-04-05,21:48:10,Répondre à un message test,IDPARENTTEST=2585
36859,tdelille,2009-04-05,21:48:10,Citer un message,IDFORUMTEST=355
36860,tdelille,2009-04-05,21:48:10,Citer un message,IDMSGTEST=2585
36861,tdelille,2009-04-05,22:42:21,Connexion,login=tdelille
36862,tdelille,2009-04-05,22:42:23,Afficher une structure (cours/forum),IDFORUMTEST=354
36863,tdelille,2009-04-05,22:42:28,Afficher le contenu d''un message,IDFORUMTEST=354
36864,tdelille,2009-04-05,22:42:28,Afficher le contenu d''un message,IDMSGTEST=2591
36865,tdelille,2009-04-05,22:54:09,Répondre à un message test,IDFORUMTEST=354
36866,tdelille,2009-04-05,22:54:09,Répondre à un message test,IDMSGTEST=2595
36867,tdelille,2009-04-05,22:54:09,Répondre à un message test,IDPARENTTEST=2591
36868,tdelille,2009-04-05,22:54:09,Citer un message,IDFORUMTEST=354
36869,tdelille,2009-04-05,22:54:09,Citer un message,IDMSGTEST=2591
36870,mwollenburger,2009-04-06,02:19:14,Connexion,login=mwollenburger
36871,mwollenburger,2009-04-06,02:19:18,Afficher une structure (cours/forum),IDFORUMTEST=329
36872,mwollenburger,2009-04-06,02:19:29,Afficher le contenu d''un message,IDFORUMTEST=329
36873,mwollenburger,2009-04-06,02:19:29,Afficher le contenu d''un message,IDMSGTEST=2592
36874,mwollenburger,2009-04-06,02:20:02,Afficher le contenu d''un message,IDFORUMTEST=329
36875,mwollenburger,2009-04-06,02:20:02,Afficher le contenu d''un message,IDMSGTEST=2593
36876,mwollenburger,2009-04-06,02:20:30,Afficher le contenu d''un message,IDFORUMTEST=329
36877,mwollenburger,2009-04-06,02:20:30,Afficher le contenu d''un message,IDMSGTEST=2592
36878,mwollenburger,2009-04-06,02:20:52,Afficher une structure (cours/forum),IDFORUMTEST=354
36879,mwollenburger,2009-04-06,02:21:01,Afficher le contenu d''un message,IDFORUMTEST=354
